Title,Plot,Quotability/cultural impact ,Laughs,Total score,IMDb rating,IMDb rank,Notes,Season ,episode
good_news_bad_news,4,7,7,8.52173913,7.6,166,2nd button joke,1,1
male_unbonding,3,6.5,2,1.695652174,7.3,173,Kramer's pizza idea,1,2
the_stakeout,4,7,9,10.95652174,7.7,160,Art Vandelay first appearance,1,3
the_robbery,3,3.5,5.5,2.510869565,7.6,166,,1,4
the_stock_tip,3,3,6.5,2.543478261,7.5,168,,1,5
the_ex-girlfriend,3,5,7.5,4.891304348,7.7,160,,2,1
the_pony_remark,4,5,8,6.956521739,7.9,149,,2,2
the_jacket,5,6,8.5,11.08695652,8.3,79,,2,3
the_phone_message,4,3,13.5,7.043478261,8.4,58,Tippy-toe!,2,4
the_apartment,2,7,9.5,5.782608696,7.9,149,"Elaine's first ""GET OUT""",2,5
the_statue,3,3,12.5,4.891304348,8,135,,2,6
the_revenge,3,7,7,6.391304348,8.3,79,George is unemployed; first mention of Newman,2,7
the_heart_attack,2,5,10,4.347826087,7.9,149,,2,8
the_deal,2,3,12,3.130434783,8.3,79,,2,9
the_baby_shower,3,3,7,2.739130435,7.5,168,,2,10
the_chinese_restaurant,4,4.5,17.5,13.69565217,8.7,24,,2,11
the_busboy,5,4,7,6.086956522,7.7,160,,2,12
the_note,5,7,15,22.82608696,8.2,98,,3,1
the_truth,3,3,7.5,2.934782609,7.8,158,,3,2
the_pen,3,4,11,5.739130435,8.2,98,first HELLO,3,3
the_dog,3,3,7,2.739130435,7.3,173,,3,4
the_library,3,7,7.5,6.847826087,8.6,35,cant stand ya,3,5
the_parking_garage,5,8,22,38.26086957,8.8,20,,3,6
the_cafe,4,6,9.5,9.913043478,8.4,58,Babu’s first appearance ,3,7
the_tape,4,7,14,17.04347826,8.7,24,not bloody likely,3,8
the_nose_job,3,6.5,7,5.934782609,8,135,,3,9
the_stranded,4,7,9,10.95652174,7.5,168,,3,10
the_alternate_side,4,8,14.5,20.17391304,8.3,79,,3,11
the_red_dot,3,7,10,9.130434783,8.4,58,,3,12
the_subway,5,7,14.5,22.06521739,8.7,24,,3,13
the_pez_dispenser,4,6,16.5,17.2173913,8.4,58,,3,14
the_suicide,3,4,10.5,5.47826087,7.5,168,Wayne Knight's first appearance as newman,3,15
the_fix-up,3,6,18,14.08695652,8.4,58,,3,16
the_boyfriend_(1),3,8,15.5,16.17391304,8.4,58,,3,17
the_boyfriend_(2),3,3,14,5.47826087,8.9,10,,3,18
the_limo,4,6,16,16.69565217,8.9,10,,3,19
the_good_samaritan,3,7,13,11.86956522,8,135,,3,20
the_letter,4,10,13.5,23.47826087,8,135,kramer painting,3,21
the_parking_space,5,6,11,14.34782609,8.3,79,,3,22
the_keys,5,7.5,20.5,33.42391304,8.4,58,,3,23
the_trip_(1),4.5,6,8,9.391304348,8.3,79,,4,1
the_trip_(2),4,7,17,20.69565217,8.3,79,,4,2
the_pitch,5,10,16.5,35.86956522,8.6,35,People like to say salsa,4,3
the_ticket,5,8,16.5,28.69565217,8.3,79,,4,4
the_wallet_(1),3.5,7,12,12.7826087,8.1,112,dancing gif,4,5
the_watch_(2),4,8,13,18.08695652,8.1,112,"""that's true"" gif",4,6
the_bubble_boy,3,8,16,16.69565217,8.7,24,,4,7
the_cheever_letters,3.5,7,17,18.10869565,8.5,49,,4,8
the_opera,4,7,21,25.56521739,8.2,98,"""I've kybashed berfore…""",4,9
the_virgin,4,6,18,18.7826087,8.1,112,,4,10
the_contest,5,10,31,67.39130435,9.6,1,first appearance of Estelle. ,4,11
the_airport,4.5,9,17,29.93478261,8.9,10,,4,12
the_pick,4,9,24,37.56521739,8.5,49,,4,13
the_movie,4,9,11,17.2173913,8.1,112,,4,14
the_visa,3,7,14,12.7826087,8.1,112,,4,15
the_shoes,3,7,10.5,9.586956522,8.1,112,george clapping GIF,4,16
the_outing,4,8,21,29.2173913,9.4,4,"""not that there's anything wrong with that""",4,17
the_old_man,3,7,14.5,13.23913043,8,135,""" I loathe you!""",4,18
the_implant,4,8,15,20.86956522,8.6,35,,4,19
the_junior_mint,4,10,27,46.95652174,8.7,24,"""DOLORES!!!""",4,20
the_smelly_car,4,7,15,18.26086957,8.4,58,,4,21
the_handicap_spot,3,9,17.5,20.54347826,8.3,79,introduction of frank,4,22
the_pilot_(1),3,9,21,24.65217391,8.3,79,,4,23
the_pilot_(2),3,9,21,24.65217391,8.6,35,"""show about nothing""",4,24
the_mango,4,7,25.5,31.04347826,8.4,58,"""you faked it?""",5,1
the_puffy_shirt,4,10,17,29.56521739,8.8,20,"""I don’t wanna be a pirate""",5,2
the_glasses,3,9,21,24.65217391,8.3,79,,5,3
the_sniffing_accountant,4,9,27.5,43.04347826,8,135,"""heres to feeling good all the time""",5,4
the_bris,3,5,12,7.826086957,7.9,149,,5,5
the_lip_reader,4,6,19,19.82608696,8.3,79,,5,6
the_non-fat_yogurt,5,9,16,31.30434783,8.3,79,"""giddy up"" gif",5,7
the_barber,4,8,16.5,22.95652174,8.4,58,,5,8
the_masseuse,3,8,20,20.86956522,7.7,160,,5,9
the_cigar_store_indian,4,7,15,18.26086957,8.2,98,,5,10
the_conversion,5,9,30,58.69565217,8.1,112,,5,11
the_stall,4,7,24,29.2173913,8.4,58,,5,12
the_dinner_party,4,8,17.5,24.34782609,8.1,112,,5,13
the_marine_biologist,5,9,52,101.7391304,9.2,5,,5,14
the_pie,4,8,23,32,8.4,58,,5,15
the_stand-in,3,9,21.5,25.23913043,7.4,172,,5,16
the_wife,4,8,23,32,8,135,,5,17
